BasicUser(name='Quatox', score=2)
BasicUser(name='GamesFail', score=3)
BasicUser(name='PollitoRubio22', score=4)
BasicUser(name='LIAjaafar202', score=0)
BasicUser(name='CyberFail101', score=1)
BasicUser(name='Kurortnik13', score=3)
BasicUser(name='burnITdownplz', score=0)
BasicUser(name='thisNotokay', score=1)
BasicUser(name='trannypunk', score=4)
BasicUser(name='benn14dalas', score=0)
BasicUser(name='Gnomishninja', score=4)
BasicUser(name='RandalThor', score=0)
BasicUser(name='tommy1228', score=0)
BasicUser(name='Nhilz', score=2)
BasicUser(name='Algeroth', score=10)
BasicUser(name='Genol_Hal', score=0)
BasicUser(name='Associated', score=10)
BasicUser(name='FnATiK00', score=10)
BasicUser(name='msaadah1223', score=10)
BasicUser(name='Bakri', score=10)
BasicUser(name='FlyingRat', score=10)
BasicUser(name='Sergeymilan', score=10)
BasicUser(name='MikeyMike30', score=10)
BasicUser(name='kermit497', score=10)
BasicUser(name='Blaines', score=10)
BasicUser(name='Alcard9', score=10)
BasicUser(name='AlexBraus471', score=10)
BasicUser(name='zerofab', score=10)
BasicUser(name='temaxa', score=10)
BasicUser(name='Eskapiszmus', score=10)
BasicUser(name='atom1989', score=10)
BasicUser(name='Rambomonk', score=10)
BasicUser(name='changfong', score=10)
BasicUser(name='YYYakucho', score=10)
BasicUser(name='bluebeetle', score=10)
BasicUser(name='rafaellitto', score=10)
BasicUser(name='kozzy420', score=10)
BasicUser(name='CowboyNuggets', score=10)
BasicUser(name='cyberwolf84', score=10)
BasicUser(name='Maxy', score=10)
BasicUser(name='IsHaplo', score=10)
BasicUser(name='DantePQ', score=10)
BasicUser(name='mahdi_gamer', score=10)
BasicUser(name='Arcymond', score=10)
BasicUser(name='Grajmerka', score=10)
BasicUser(name='Rajzerek', score=10)
BasicUser(name='diVante', score=10)
BasicUser(name='Valarmrghls', score=10)
BasicUser(name='janczoox', score=10)
BasicUser(name='ChesterField', score=5)
BasicUser(name='zigobyte', score=10)
BasicUser(name='mohammad-gh', score=10)
BasicUser(name='DrunkTony', score=10)
BasicUser(name='IsamiKoto', score=10)
BasicUser(name='noforcee', score=10)
BasicUser(name='Midnight_Roam', score=10)
BasicUser(name='Redstripe420', score=10)
BasicUser(name='eskobor', score=10)
BasicUser(name='Cryo1986', score=10)
BasicUser(name='wetgoose', score=10)
BasicUser(name='ySnow', score=10)
BasicUser(name='Narus', score=10)
BasicUser(name='bagieta21', score=10)
BasicUser(name='c300g97', score=10)
BasicUser(name='Czikenica', score=10)
BasicUser(name='Teest', score=10)
BasicUser(name='kolanko22', score=10)
BasicUser(name='masterkonrad', score=10)
BasicUser(name='paraIeIe', score=10)
BasicUser(name='doctormuselove', score=10)
